method,benchmark,metric,value
InternVL3.5,EgoLifeQA,eta_M_V,
InternVL3.5,EgoR1Bench,delta_c_tau,26.5
InternVL3.5,EgoR1Bench,delta_e_tau,26.7
InternVL3.5,EgoR1Bench,eta_M_V,
InternVideo2.5,Egoschema,delta_c_tau,0.401
InternVideo2.5,Egoschema,delta_e_tau,0.459
InternVideo2.5,Egoschema,eta_M_V,
InternVideo2.5,EgoLifeQA,delta_c_tau,1.42
InternVideo2.5,EgoLifeQA,delta_e_tau,1.5
InternVideo2.5,EgoLifeQA,eta_M_V,
InternVideo2.5,EgoR1Bench,delta_c_tau,1.37
InternVideo2.5,EgoR1Bench,delta_e_tau,1.46
InternVideo2.5,EgoR1Bench,eta_M_V,
EgoGPT,Egoschema,delta_c_tau,0.134
EgoGPT,Egoschema,delta_e_tau,0.197
EgoGPT,Egoschema,eta_M_V,
EgoGPT,EgoLifeQA,delta_c_tau,0.555
EgoGPT,EgoLifeQA,delta_e_tau,0.605
EgoGPT,EgoLifeQA,eta_M_V,
EgoGPT,EgoR1Bench,delta_c_tau,0.543
EgoGPT,EgoR1Bench,delta_e_tau,0.623
EgoGPT,EgoR1Bench,eta_M_V,
LongVA,Egoschema,delta_c_tau,0.093
LongVA,Egoschema,delta_e_tau,0.284
LongVA,Egoschema,eta_M_V,
LongVA,EgoLifeQA,delta_c_tau,0.52
LongVA,EgoLifeQA,delta_e_tau,0.991
LongVA,EgoLifeQA,eta_M_V,
LongVA,EgoR1Bench,delta_c_tau,0.51
LongVA,EgoR1Bench,delta_e_tau,1.09
LongVA,EgoR1Bench,eta_M_V,
EgoButler,Egoschema,delta_c_tau,0.118
EgoButler,Egoschema,delta_e_tau,0.122
EgoButler,Egoschema,eta_M_V,0.021
EgoButler,EgoLifeQA,delta_c_tau,0.943
EgoButler,EgoLifeQA,delta_e_tau,0.401
EgoButler,EgoLifeQA,eta_M_V,0.001
EgoButler,EgoR1Bench,delta_c_tau,0.215
EgoButler,EgoR1Bench,delta_e_tau,0.106
EgoButler,EgoR1Bench,eta_M_V,0.001
Ego-R1,Egoschema,delta_c_tau,1.21
Ego-R1,Egoschema,delta_e_tau,1.4
Ego-R1,Egoschema,eta_M_V,1.04
Ego-R1,EgoLifeQA,delta_c_tau,15.1
Ego-R1,EgoLifeQA,delta_e_tau,15.9
Ego-R1,EgoLifeQA,eta_M_V,1.02
Ego-R1,EgoR1Bench,delta_c_tau,14.0
Ego-R1,EgoR1Bench,delta_e_tau,18.2
Ego-R1,EgoR1Bench,eta_M_V,1.02
M3Agent,Egoschema,delta_c_tau,1.73
M3Agent,Egoschema,delta_e_tau,2.13
M3Agent,Egoschema,eta_M_V,0.135
M3Agent,EgoLifeQA,delta_c_tau,35.3
M3Agent,EgoLifeQA,delta_e_tau,33.0
M3Agent,EgoLifeQA,eta_M_V,0.017
M3Agent,EgoR1Bench,delta_c_tau,6.59
M3Agent,EgoR1Bench,delta_e_tau,4.61
M3Agent,EgoR1Bench,eta_M_V,0.015
HippoMM,Egoschema,delta_c_tau,0.411
HippoMM,Egoschema,delta_e_tau,1.19
HippoMM,Egoschema,eta_M_V,1.85
HippoMM,EgoLifeQA,delta_c_tau,49.2
HippoMM,EgoLifeQA,delta_e_tau,56.4
HippoMM,EgoLifeQA,eta_M_V,1.23
HippoMM,EgoR1Bench,delta_c_tau,31.2
HippoMM,EgoR1Bench,delta_e_tau,35.7
HippoMM,EgoR1Bench,eta_M_V,1.25
EgoVidMem,Egoschema,delta_c_tau,0.376
EgoVidMem,Egoschema,delta_e_tau,0.294
EgoVidMem,Egoschema,eta_M_V,0.048
EgoVidMem,EgoLifeQA,delta_c_tau,7.08
EgoVidMem,EgoLifeQA,delta_e_tau,8.38
EgoVidMem,EgoLifeQA,eta_M_V,0.07
EgoVidMem,EgoR1Bench,delta_c_tau,5.22
EgoVidMem,EgoR1Bench,delta_e_tau,5.5
EgoVidMem,EgoR1Bench,eta_M_V,0.063
